,user,song,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,100-110,110-120
0,3,1,0,0,0,1,0,1,1,0,1,1,1,1
1,3,2,0,1,1,0,0,1,1,1,1,1,0,0
2,3,3,1,1,0,1,1,0,0,0,0,1,1,0
