user,song,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,100-110,110-120
1,1,2,2,1,0,2,0,3,2,2,4,4,0
1,2,2,0,0,0,0,3,3,3,3,0,0,0
1,3,3,3,3,0,0,3,3,3,0,0,2,0
1,4,3,3,6,3,3,2,3,3,3,0,6,3
