,user,song,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,100-110,110-120
0,7,1,0,0,1,0,0,1,1,0,0,1,1,1
1,7,2,0,0,0,0,0,0,1,1,1,1,0,0
2,7,3,1,1,1,1,1,1,1,1,1,1,1,1
3,7,4,1,1,1,1,1,1,1,1,1,1,1,1
